fecha,ipc_base_dic2016,salario_base_dic2016,salario_real_base_dic2016
2016-12,100,100,100
2017-01,101.586,103.353,101.74
2017-02,103.686,104.665,100.944
2017-03,106.148,106.191,100.041
2017-04,108.967,109.758,100.726
2017-05,110.53,111.945,101.28
2017-06,111.848,113.937,101.868
2017-07,113.785,119.351,104.891
2017-08,115.382,121.052,104.914
2017-09,117.572,122.461,104.158
2017-10,119.353,124.628,104.42
2017-11,120.994,126.387,104.458
2017-12,124.796,127.33,102.031
2018-01,126.989,129.507,101.983
2018-02,130.061,130.537,100.367
2018-03,133.105,132.404,99.473
2018-04,136.751,137.049,100.218
2018-05,139.589,140.412,100.589
2018-06,144.805,142.356,98.308
2018-07,149.297,145.728,97.61
2018-08,155.103,149.869,96.625
2018-09,165.238,153.387,92.828
2018-10,174.147,159.257,91.45
2018-11,179.639,163.339,90.927
2018-12,184.255,166.051,90.12
2019-01,189.61,171.941,90.681
2019-02,196.75,176.655,89.786
2019-03,205.957,182.972,88.84
2019-04,212.96,188.036,88.296
2019-05,219.569,195.996,89.264
2019-06,225.537,201.176,89.199
2019-07,230.494,209.797,91.021
2019-08,239.608,215.638,89.996
2019-09,253.71,221.324,87.235
2019-10,262.066,229.672,87.639
2019-11,273.216,236.029,86.389
2019-12,283.444,239.615,84.537
2020-01,289.83,260.084,89.737
2020-02,295.666,272.106,92.032
2020-03,305.552,278.356,91.099
2020-04,310.124,277.714,89.549
2020-05,314.909,277.053,87.979
2020-06,321.974,277.422,86.163
2020-07,328.201,281.067,85.639
2020-08,337.063,286.84,85.1
2020-09,346.621,293.07,84.551
2020-10,359.657,308.737,85.842
2020-11,371.021,316.882,85.408
2020-12,385.883,321.955,83.434
2021-01,401.507,334.931,83.418
2021-02,415.86,352.153,84.681
2021-03,435.866,366.1,83.994
2021-04,453.65,383.458,84.527
2021-05,468.725,396.909,84.679
2021-06,483.605,403.878,83.514
2021-07,498.099,424.725,85.269
2021-08,510.394,438.954,86.003
2021-09,528.497,454.767,86.049
2021-10,547.08,471.659,86.214
2021-11,560.918,492.759,87.849
2021-12,582.458,499.893,85.825
2022-01,605.032,523.054,86.451
2022-02,633.434,543.308,85.772
2022-03,676.057,572.757,84.72
2022-04,716.94,604.811,84.36
2022-05,753.147,646.963,85.901
2022-06,793.028,679.716,85.712
2022-07,851.761,716.309,84.097
2022-08,911.132,774.653,85.021
2022-09,967.308,819.71,84.741
2022-10,1028.706,863.155,83.907
2022-11,1079.279,926.562,85.85
2022-12,1134.588,968.627,85.373
2023-01,1202.979,1013.092,84.215
2023-02,1282.709,1083.011,84.432
2023-03,1381.16,1168.316,84.589
2023-04,1497.215,1248.489,83.387
2023-05,1613.59,1350.219,83.678
2023-06,1709.612,1427.233,83.483
2023-07,1818.084,1581.116,86.966
2023-08,2044.283,1712.956,83.792
2023-09,2304.924,1939.528,84.147
2023-10,2496.273,2108.864,84.48
2023-11,2816.063,2318.544,82.333
2023-12,3533.192,2574.468,72.865
2024-01,4261.532,3089.008,72.486
2024-02,4825.788,3523.588,73.016
2024-03,5357.093,3875.488,72.343
2024-04,5830.227,4339.197,74.426
2024-05,6073.7,4672.31,76.927
2024-06,6351.714,4984.974,78.482
2024-07,6607.748,5297.677,80.174
2024-08,6883.441,5564.564,80.84
2024-09,7122.242,5774.157,81.072
2024-10,7313.954,6002.303,82.066
2024-11,7491.431,6199.174,82.75
2024-12,7694.008,6372.31,82.822
2025-01,7864.126,6518.904,82.894
2025-02,8052.993,6669.385,82.819
2025-03,8353.316,6813.626,81.568
2025-04,8585.608,6986.053,81.369
2025-05,8714.487,7124.103,81.75
2025-06,8855.568,7247.565,81.842
2025-07,9023.973,7405.005,82.059
2025-08,9193.244,7571.134,82.355
2025-09,9384.092,7675.09,81.788
2025-10,9603.862,7834.688,81.579
2025-11,9841.358,8001.438,81.304
2025-12,10121.372,8203.907,81.055
2026-01,10413.031,8378.832,80.465
2026-02,10714.626,8509.34,79.418
2026-03,11077.061,8684.498,78.401
2026-04,11363.09,9031.908,79.485
2026-05,11607.394,9212.557,79.368
2026-06,11826.41,9390.903,79.406
